year,qtr,origin,dest,pc_hawaiian,pc_aloha,pc_go,pc_island,pc_other,mf_hawaiian,mf_aloha,mf_go,mf_island,mf_other
1997,1,KOA,ITO,4,4,0,0,0,48,29,NA,NA,NA
1997,1,LIH,HNL,63,442,0,0,9,46.3,58,NA,NA,60
1997,1,LIH,OGG,8,207,0,0,1,59.005,69,NA,NA,148.02
1997,1,LIH,KOA,33,117,0,0,0,67.99,52,NA,NA,NA
1997,1,LIH,ITO,24,65,0,0,0,45,38.99,NA,NA,NA
1997,1,ITO,HNL,55,246,0,0,0,46.01,54,NA,NA,NA
1997,1,ITO,OGG,46,103,0,0,0,39.99,42,NA,NA,NA
1997,1,ITO,KOA,56,6,0,0,0,39,29,NA,NA,NA
1997,1,ITO,LIH,29,41,0,0,0,45,42.01,NA,NA,NA
1997,2,HNL,OGG,45,364,0,0,51,55,59,NA,NA,72
1997,2,HNL,KOA,49,380,0,0,3,41.9,57.94,NA,NA,79.01
1997,2,HNL,LIH,35,432,0,0,1,46.3,53,NA,NA,62
1997,2,HNL,ITO,56,202,0,0,0,47,56.01,NA,NA,NA
1997,2,OGG,HNL,39,347,0,0,49,51,57,NA,NA,69
1997,2,OGG,KOA,34,222,0,0,0,40.5,51,NA,NA,NA
1997,2,OGG,LIH,13,232,0,0,0,47.83,68.495,NA,NA,NA
1997,2,OGG,ITO,40,106,0,0,0,42,47,NA,NA,NA
1997,2,KOA,HNL,63,407,0,0,2,59,60.99,NA,NA,100.995
1997,2,KOA,OGG,38,167,0,0,0,41,49,NA,NA,NA
1997,2,KOA,LIH,33,100,0,0,0,46.99,57,NA,NA,NA
1997,2,KOA,ITO,21,0,0,0,0,34,NA,NA,NA,NA
1997,2,LIH,HNL,54,445,0,0,7,51.585,53,NA,NA,67
1997,2,LIH,OGG,17,227,0,0,0,47.83,63,NA,NA,NA
1997,2,LIH,KOA,25,111,0,0,0,46.99,51,NA,NA,NA
1997,2,LIH,ITO,23,41,0,0,1,20.99,44.65,NA,NA,78.99
